SODIMM,Designator,FPGA,Signal,Direction
110,PT38B,C9,LCD_VSYNC,output
112,PT40A,D9,LCD_HSYNC,output
114,PT35A,C8,LCD_B0,output
116,PT33B,D8,LCD_G2,output
118,PT27A,C7,LCD_G3,output
120,PT24B,D7,LCD_G5,output
122,PT22A,C6,LCD_CS,output
124,PT20B,D6,LCD_R3,output
126,PT15A,C5,LCD_R2,output
128,PT13B,D5,LCD_R4,output
130,PT11A,C4,LCD_R5,output
132,PT9B,D4,LCD_B5,output
134,PL2C,C3,LCD_B4,output
136,PT9A,E4,LCD_B3,output
138,PL5C,E3,LCD_CLK,output
140,PL8C,F4,LCD_ENABLE,output
142,PL5D,F3,LCD_B1,output
144,PL11B,G4,LCD_B2,output
146,PL14C,G3,LCD_G0,output
148,PL14D,H3,LCD_G1,output
150,PL17C,J4,LCD_G4,output
152,PL20C,J3,LCD_BACKLIGHT_CTRL,output
154,PL29A,K4,LCD_R0,output
156,PL20D,K3,LCD_R1,output
